2022-07-26 11:26:05,193 Callback->Connection initialized[radio://0/80/2M/E7E7E7E7E7]
2022-07-26 11:26:07,517 We are connected[radio://0/80/2M/E7E7E7E7E7], request connection setup
2022-07-26 11:26:07,526 Callback->Connected to [radio://0/80/2M/E7E7E7E7E7]
2022-07-26 11:26:07,689 Protocol  version: 5
2022-07-26 11:26:07,725 TOC for port [5] found in cache
2022-07-26 11:26:07,726 Log TOC finished updating
2022-07-26 11:26:07,736 7 memories found
2022-07-26 11:26:07,960 Memories finished updating
2022-07-26 11:26:07,977 TOC for port [2] found in cache
2022-07-26 11:26:09,126 Param TOC finished updating
2022-07-26 11:26:09,126 Callback->Connection setup finished [radio://0/80/2M/E7E7E7E7E7]
2022-07-26 11:26:12,010 Have successfully started logging for id=1
2022-07-26 11:26:17,015 Have successfully stopped logging for id=1
2022-07-26 11:26:17,018 Have successfully deleted id=1
2022-07-26 11:26:17,034 Have successfully started logging for id=2
2022-07-26 11:26:17,044 {'ranging.distance0': 1.5705840587615967, 'ranging.distance1': 4.026429176330566, 'ranging.distance2': 4.692026615142822, 'ranging.distance3': 2.2190921306610107, 'ranging.distance4': 3.36328125, 'ranging.distance5': 4.19921875, 'ranging.distance6': 1.5205078125, 'ranging.distance7': 2.162109375}
2022-07-26 11:26:17,052 {'ranging.distance0': 1.5705840587615967, 'ranging.distance1': 4.026429176330566, 'ranging.distance2': 4.668311595916748, 'ranging.distance3': 2.2190921306610107, 'ranging.distance4': 3.330078125, 'ranging.distance5': 4.18359375, 'ranging.distance6': 1.5205078125, 'ranging.distance7': 2.162109375}
2022-07-26 11:26:17,064 {'ranging.distance0': 1.5705840587615967, 'ranging.distance1': 4.026429176330566, 'ranging.distance2': 4.668311595916748, 'ranging.distance3': 2.2190921306610107, 'ranging.distance4': 3.330078125, 'ranging.distance5': 4.18359375, 'ranging.distance6': 1.513671875, 'ranging.distance7': 2.154296875}
2022-07-26 11:26:17,073 {'ranging.distance0': 1.5705840587615967, 'ranging.distance1': 4.026429176330566, 'ranging.distance2': 4.668311595916748, 'ranging.distance3': 2.2190921306610107, 'ranging.distance4': 3.365234375, 'ranging.distance5': 4.18359375, 'ranging.distance6': 1.5517578125, 'ranging.distance7': 2.154296875}
2022-07-26 11:26:17,084 {'ranging.distance0': 1.5705840587615967, 'ranging.distance1': 3.9844064712524414, 'ranging.distance2': 4.668311595916748, 'ranging.distance3': 2.2190921306610107, 'ranging.distance4': 3.365234375, 'ranging.distance5': 4.18359375, 'ranging.distance6': 1.5517578125, 'ranging.distance7': 2.154296875}
2022-07-26 11:26:17,091 {'ranging.distance0': 1.5705840587615967, 'ranging.distance1': 3.9844064712524414, 'ranging.distance2': 4.668311595916748, 'ranging.distance3': 2.2266976833343506, 'ranging.distance4': 3.365234375, 'ranging.distance5': 4.18359375, 'ranging.distance6': 1.5322265625, 'ranging.distance7': 2.154296875}
2022-07-26 11:26:17,107 {'ranging.distance0': 1.5705840587615967, 'ranging.distance1': 3.992837429046631, 'ranging.distance2': 4.636036396026611, 'ranging.distance3': 2.2266976833343506, 'ranging.distance4': 3.365234375, 'ranging.distance5': 4.18359375, 'ranging.distance6': 1.5322265625, 'ranging.distance7': 2.150390625}
2022-07-26 11:26:17,113 {'ranging.distance0': 1.5705840587615967, 'ranging.distance1': 3.992837429046631, 'ranging.distance2': 4.636036396026611, 'ranging.distance3': 2.23056960105896, 'ranging.distance4': 3.39453125, 'ranging.distance5': 4.1875, 'ranging.distance6': 1.51171875, 'ranging.distance7': 2.150390625}
2022-07-26 11:26:17,123 {'ranging.distance0': 1.5705840587615967, 'ranging.distance1': 4.031923294067383, 'ranging.distance2': 4.636036396026611, 'ranging.distance3': 2.19213604927063, 'ranging.distance4': 3.39453125, 'ranging.distance5': 4.1875, 'ranging.distance6': 1.51171875, 'ranging.distance7': 2.138671875}
2022-07-26 11:26:17,137 {'ranging.distance0': 1.5705840587615967, 'ranging.distance1': 4.031923294067383, 'ranging.distance2': 4.636036396026611, 'ranging.distance3': 2.19213604927063, 'ranging.distance4': 3.375, 'ranging.distance5': 4.1875, 'ranging.distance6': 1.5048828125, 'ranging.distance7': 2.138671875}
2022-07-26 11:26:17,142 {'ranging.distance0': 1.568949580192566, 'ranging.distance1': 4.026122093200684, 'ranging.distance2': 4.693836688995361, 'ranging.distance3': 2.19213604927063, 'ranging.distance4': 3.375, 'ranging.distance5': 4.1875, 'ranging.distance6': 1.5048828125, 'ranging.distance7': 2.15234375}
2022-07-26 11:26:17,152 {'ranging.distance0': 1.568949580192566, 'ranging.distance1': 4.026122093200684, 'ranging.distance2': 4.693836688995361, 'ranging.distance3': 2.2491233348846436, 'ranging.distance4': 3.431640625, 'ranging.distance5': 4.20703125, 'ranging.distance6': 1.5087890625, 'ranging.distance7': 2.15234375}
2022-07-26 11:26:17,169 {'ranging.distance0': 1.5779879093170166, 'ranging.distance1': 4.026122093200684, 'ranging.distance2': 4.731203079223633, 'ranging.distance3': 2.2349536418914795, 'ranging.distance4': 3.431640625, 'ranging.distance5': 4.20703125, 'ranging.distance6': 1.5087890625, 'ranging.distance7': 2.158203125}
2022-07-26 11:26:17,181 {'ranging.distance0': 1.5779879093170166, 'ranging.distance1': 4.026122093200684, 'ranging.distance2': 4.731203079223633, 'ranging.distance3': 2.2349536418914795, 'ranging.distance4': 3.39453125, 'ranging.distance5': 4.171875, 'ranging.distance6': 1.5087890625, 'ranging.distance7': 2.15625}
2022-07-26 11:26:17,185 {'ranging.distance0': 1.5551151037216187, 'ranging.distance1': 4.026122093200684, 'ranging.distance2': 4.70930290222168, 'ranging.distance3': 2.2860286235809326, 'ranging.distance4': 3.39453125, 'ranging.distance5': 4.171875, 'ranging.distance6': 1.5087890625, 'ranging.distance7': 2.15625}
2022-07-26 11:26:17,193 {'ranging.distance0': 1.5551151037216187, 'ranging.distance1': 4.026122093200684, 'ranging.distance2': 4.70930290222168, 'ranging.distance3': 2.2860286235809326, 'ranging.distance4': 3.373046875, 'ranging.distance5': 4.20703125, 'ranging.distance6': 1.5009765625, 'ranging.distance7': 2.162109375}
2022-07-26 11:26:17,206 {'ranging.distance0': 1.6010323762893677, 'ranging.distance1': 4.020288944244385, 'ranging.distance2': 4.70930290222168, 'ranging.distance3': 2.245718002319336, 'ranging.distance4': 3.373046875, 'ranging.distance5': 4.20703125, 'ranging.distance6': 1.5009765625, 'ranging.distance7': 2.162109375}
2022-07-26 11:26:17,213 {'ranging.distance0': 1.6010323762893677, 'ranging.distance1': 4.020288944244385, 'ranging.distance2': 4.70930290222168, 'ranging.distance3': 2.245718002319336, 'ranging.distance4': 3.373046875, 'ranging.distance5': 4.23046875, 'ranging.distance6': 1.5546875, 'ranging.distance7': 2.171875}
2022-07-26 11:26:17,219 {'ranging.distance0': 1.6010323762893677, 'ranging.distance1': 4.029406547546387, 'ranging.distance2': 4.690065860748291, 'ranging.distance3': 2.245718002319336, 'ranging.distance4': 3.369140625, 'ranging.distance5': 4.23046875, 'ranging.distance6': 1.5546875, 'ranging.distance7': 2.171875}
2022-07-26 11:26:17,235 {'ranging.distance0': 1.5439221858978271, 'ranging.distance1': 4.029406547546387, 'ranging.distance2': 4.690065860748291, 'ranging.distance3': 2.245718002319336, 'ranging.distance4': 3.369140625, 'ranging.distance5': 4.20703125, 'ranging.distance6': 1.5341796875, 'ranging.distance7': 2.19921875}
2022-07-26 11:26:17,244 {'ranging.distance0': 1.5439221858978271, 'ranging.distance1': 4.002142429351807, 'ranging.distance2': 4.6818647384643555, 'ranging.distance3': 2.315211057662964, 'ranging.distance4': 3.3671875, 'ranging.distance5': 4.20703125, 'ranging.distance6': 1.5341796875, 'ranging.distance7': 2.19921875}
2022-07-26 11:26:17,253 {'ranging.distance0': 1.6010228395462036, 'ranging.distance1': 4.002142429351807, 'ranging.distance2': 4.6818647384643555, 'ranging.distance3': 2.315211057662964, 'ranging.distance4': 3.3671875, 'ranging.distance5': 4.19921875, 'ranging.distance6': 1.5341796875, 'ranging.distance7': 2.279296875}
